paper,DOI
http://orkg.org/orkg/resource/R25237,10.3115/v1/w14-3623
http://orkg.org/orkg/resource/R25239,10.1016/j.jksuci.2014.06.003
http://orkg.org/orkg/resource/R25243,10.1007/978-3-319-18117-2_2
http://orkg.org/orkg/resource/R25245,10.1109/acling.2015.20
http://orkg.org/orkg/resource/R25247,10.18653/v1/d15-1304
http://orkg.org/orkg/resource/R25251,10.1177/0165551516683908
http://orkg.org/orkg/resource/R25253,10.18653/v1/p16-1066
http://orkg.org/orkg/resource/R25260,10.1145/1774088.1774598
http://orkg.org/orkg/resource/R25264,10.1016/j.eswa.2009.01.010
http://orkg.org/orkg/resource/R25269,10.1109/icws.2008.18
http://orkg.org/orkg/resource/R25272,10.1007/s11280-007-0040-y
http://orkg.org/orkg/resource/R25276,10.1145/1391949.1391953
http://orkg.org/orkg/resource/R25280,10.1109/icsmc.2011.6083778
http://orkg.org/orkg/resource/R25283,10.1145/1353343.1353428
http://orkg.org/orkg/resource/R25285,10.1109/aina.2010.122
http://orkg.org/orkg/resource/R25288,10.1109/ams.2008.94
http://orkg.org/orkg/resource/R25290,10.1007/s00165-010-0166-z
http://orkg.org/orkg/resource/R25294,10.1016/j.ijar.2008.01.005
http://orkg.org/orkg/resource/R25296,10.1007/978-3-540-88873-4_22
http://orkg.org/orkg/resource/R25298,10.1109/cason.2010.134
http://orkg.org/orkg/resource/R25300,10.1016/j.future.2010.04.012
http://orkg.org/orkg/resource/R25302,10.1016/j.eswa.2008.06.087
http://orkg.org/orkg/resource/R25304,10.1016/j.knosys.2012.04.018
http://orkg.org/orkg/resource/R25307,10.1007/978-3-642-17358-5_13
http://orkg.org/orkg/resource/R25309,10.1007/978-3-642-13489-0_3
http://orkg.org/orkg/resource/R25311,10.1109/scc.2008.133
http://orkg.org/orkg/resource/R25314,10.1016/j.jcss.2007.04.009
http://orkg.org/orkg/resource/R25317,10.1109/scc.2008.147
http://orkg.org/orkg/resource/R25320,10.1109/icws.2010.67
http://orkg.org/orkg/resource/R25323,10.1109/ems.2008.24
http://orkg.org/orkg/resource/R25326,10.1007/978-3-642-12029-9_9
http://orkg.org/orkg/resource/R25328,10.1007/978-3-642-10383-4_40
http://orkg.org/orkg/resource/R25331,10.1109/iske.2008.4730970
http://orkg.org/orkg/resource/R25334,10.1109/tkde.2009.35
http://orkg.org/orkg/resource/R25338,10.1007/978-3-540-88564-1_37
http://orkg.org/orkg/resource/R25341,10.1109/tse.2009.88
http://orkg.org/orkg/resource/R25344,10.1109/dest.2009.5276750
http://orkg.org/orkg/resource/R25346,10.1016/j.eswa.2008.05.007
http://orkg.org/orkg/resource/R25348,10.1109/csie.2009.673
http://orkg.org/orkg/resource/R25350,10.1109/apscc.2010.67
http://orkg.org/orkg/resource/R25354,10.1007/978-3-642-16444-6_12
http://orkg.org/orkg/resource/R25356,10.1109/icws.2010.20
http://orkg.org/orkg/resource/R25363,10.1109/hicss.2002.994466
http://orkg.org/orkg/resource/R25367,10.1109/wpc.1999.777754
http://orkg.org/orkg/resource/R25371,10.1109/wicsa.2011.16
http://orkg.org/orkg/resource/R25374,10.1145/2304696.2304709
http://orkg.org/orkg/resource/R25377,10.1007/s11219-010-9103-x
http://orkg.org/orkg/resource/R25380,10.1007/978-3-642-02674-4_13
http://orkg.org/orkg/resource/R25384,10.1109/icse.2012.6227153
http://orkg.org/orkg/resource/R25388,10.1007/s10515-007-0020-6
http://orkg.org/orkg/resource/R25391,10.1145/1012807.1012859
http://orkg.org/orkg/resource/R25394,10.1007/s10270-009-0137-0
http://orkg.org/orkg/resource/R25398,10.1145/2162010.2162022
http://orkg.org/orkg/resource/R25404,10.1109/sose.2008.41
http://orkg.org/orkg/resource/R25408,10.1016/j.advengsoft.2012.08.001
http://orkg.org/orkg/resource/R25412,10.1007/s10796-011-9308-y
http://orkg.org/orkg/resource/R25416,10.1109/tsc.2010.16
http://orkg.org/orkg/resource/R25418,10.1007/s11761-012-0109-z
http://orkg.org/orkg/resource/R25420,10.1109/ice-ccn.2013.6528468
http://orkg.org/orkg/resource/R25426,10.1109/wocn.2012.6335533
